iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
KEN,Kenya,3974243535.776947,4320124212.524614,24.29976356702487,23.331451341188355,45.97900772,48.109978993333335,8.703056912189181,-0.9683122258365131,2.130971273333337
KGZ,Kyrgyzstan,555021306.0698527,661662676.1380215,46.18142704766504,41.65706841663195,51.421772,50.82256317333333,19.21392366417503,-4.524358631033088,-0.5992088266666684
KHM,Cambodia,1993025262.4475815,2090977034.641242,64.39125045114997,54.294780132419405,24.30771637,33.685389199999996,4.91472807892904,-10.096470318730567,9.377672829999995
KIR,Kiribati,25561613.908186533,31751832.0776875,0.6305582597265468,0.7130993257739875,90.80039215,75.18123118333332,24.216851845643617,0.08254106604744071,-15.61916096666667
KNA,Saint Kitts and Nevis,56594769.278312005,55056705.05457807,46.35456343132065,41.44030026260904,49.27016448999999,54.648268380000005,-2.7176791130118483,-4.9142631687116065,5.378103890000013
KOR,Republic of Korea,130758434428.61194,147817730572.21024,32.83717325268308,30.262960404555116,57.60768889999999,60.46004231999999,13.046421225631825,-2.5742128481279636,2.85235342
KWT,Kuwait,8544219630.5901165,8450655800.365459,10.720565943749476,10.38281040109646,88.14811707000001,88.52151743666666,-1.0950541333193113,-0.33775554265301544,0.3734003666666439
LAO,Lao People's Democratic Republic,382895124.89202905,340078927.9406255,41.83228506694637,33.48308660225465,36.93346785999999,31.902535120000003,-11.182225671710267,-8.349198464691717,-5.03093273999999
LBN,Lebanon,3040767063.811027,1498810075.6423118,30.7113191834763,31.70187154251286,49.292972559999995,34.05632718333333,-50.70947414946555,0.9905523590365597,-15.236645376666665
LBR,Liberia,351118347.10373175,514059712.1652408,54.67374698173035,62.39228797684567,16.178478239999997,9.371999106666667,46.40639442671189,7.718540995115319,-6.80647913333333
LBY,Libya,2669661760.2417216,2315518509.6858163,28.01715833917942,25.79399541389754,71.29649353,72.94742584000001,-13.265472646386478,-2.22316292528188,1.6509323100000017
LCA,Saint Lucia,100385728.5443703,120197631.19791633,41.82805128674472,35.39831758492578,48.46842575000001,44.905572256666666,19.735776131553614,-6.4297337018189396,-3.5628534933333427
LIE,Liechtenstein,439364350.05024576,435047037.5702219,21.595393409397815,18.907249334099628,64.9977951,68.36089579333333,-0.9826269426570755,-2.6881440752981867,3.3631006933333225
